Phase,Measure,Predictor,stat,Pvalue
Prequi,Number,Rural_Urban,9.928,0.002
Prequi,Number,Treatment,3.126,0.077
Prequi,Number,Int,0.194,0.66
Prequi,Rate,Rural_Urban,10.76,0.003
Prequi,Rate,Treatment,0.205,0.654
Prequi,Rate,Int,0.123,0.729
Precop,Number,Rural_Urban,0.019,0.89
Precop,Number,Treatment,0.34,0.56
Precop,Number,Int,1.033,0.31
Precop,Rate,Rural_Urban,0.143,0.708
Precop,Rate,Treatment,0.073,0.789
Precop,Rate,Int,1.883,0.18
Copulation,Number,Rural_Urban,0.353,0.552
Copulation,Number,Treatment,0.001,0.979
Copulation,Number,Int,1.598,0.206
Copulation,Rate,Rural_Urban,1.035,0.317
Copulation,Rate,Treatment,0.12,0.732
Copulation,Rate,Int,0.013,0.909
