ID,Location,Origin,Attack_Time
AP156,RH,Rural,12.06
AP168,RH,Rural,25.9
AP178,RH,Rural,30
AP174,RH,Rural,12.56
AP173,RH,Rural,8.45
AP142,RH,Rural,2.6
AP165,RH,Rural,1.22
AP145,RH,Rural,25.21
AP161,RH,Rural,9.94
AP158,RH,Rural,7.25
AP140,RH,Rural,3
AP139,RH,Rural,9
AP191,UJC,Urban,0.41
AP190,UJC,Urban,25.38
AP210,UJC,Urban,0.8
AP229,UJC,Urban,24.19
AP218,UJC,Urban,5.21
AP196,UJC,Urban,0.91
AP193,UJC,Urban,0.72
AP231,UJC,Urban,2.52
AP224,UJC,Urban,8.03
AP225,UJC,Urban,1.12
AP188,UJC,Urban,12.23
AP116,RP,Rural,19.75
AP123,RP,Rural,3.06
AP095,RP,Rural,1.11
AP111,RP,Rural,20.56
AP097,RP,Rural,5.32
AP126,RP,Rural,6.32
AP121,RP,Rural,30
AP089,RP,Rural,0.35
AP092,RP,Rural,23.25
AP090,RP,Rural,2.1
AP099,RP,Rural,13
AP132,RP,Rural,10.88
AP054,UUNL,Urban,1.55
AP053,UUNL,Urban,6.77
AP006,UUNL,Urban,15.25
AP060,UUNL,Urban,30
AP049,UUNL,Urban,1
AP005,UUNL,Urban,13.19
AP042,UUNL,Urban,4.63
AP065,UUNL,Urban,14.21
AP023,UUNL,Urban,0.53
AP070,UUNL,Urban,28.09
AP045,UUNL,Urban,21.84
AP068,UUNL,Urban,10.2
AP025,UUNL,Urban,2.84
