SpiderID,Site,Collection,Attacked_field,Attack_time_field,mass_mg,Eggs,Treatment,Cond_Date,Attacked_1,Cond_Attack_1,Cond_Attack_2,Cond_Attack_3,Notes,Initials,Test_Date,Eggs2,Test_Attack_1,Test_Attack_2,Test_Attack_3,NumAttacks,Attacked_Test,Avg_Test,Notes2,Initials2
3,Rural,9/24/23,Y,4.74,113,N,Negative,10/3/23,Y,0.82,0.33,2.14,,RD,10/5/23,N,2.16,1.5,2.47,3,Y,2.04,,HC
5,Rural,9/24/23,N,30,66,N,Negative,10/3/23,Y,0.5,2.33,2.37,,RD,10/5/23,N,30,6.85,5,2,N,13.95,,HC
11,Rural,9/24/23,Y,0.99,47,N,Negative,10/3/23,Y,3,7.85,1.85,,RD,10/5/23,N,30,30,30,0,N,30,,HS
20,Rural,9/24/23,N,30,55,N,Negative,10/3/23,Y,1.93,1.37,1.23,,RD,10/5/23,N,7.18,16.59,4.29,3,Y,9.35,,KRA
140,Rural,8/3/23,Y,2,155,N,Negative,10/3/23,Y,0.75,0.23,0.42,,RD,10/5/23,N,1.62,4.75,1.03,3,Y,2.47,,HC
17,Rural,9/24/23,Y,0.5,96,N,Neutral,10/3/23,Y,1.53,0.97,1,,AR,10/5/23,N,2.25,1.53,0.59,3,Y,1.46,,MJ
26,Rural,9/24/23,N,30,27,N,Neutral,10/3/23,Y,0.78,0.96,1.13,,AR,10/5/23,N,30,30,30,0,N,30,,MJ
151,Rural,8/3/23,Y,6,92.3,N,Neutral,10/3/23,Y,18.96,6.44,22.31,,AR,10/5/23,N,5.09,1.37,1.22,3,Y,2.56,,EC
155,Rural,8/3/23,Y,5,96,N,Neutral,10/3/23,Y,1.31,1.19,0.75,,AR,10/5/23,N,0.5,0.9,0.87,3,Y,0.76,,MJ
8,Rural,9/24/23,Y,24.19,40,N,Positive,10/3/23,Y,1.56,2.04,2.53,,CE,10/5/23,N,3.78,1.18,0.82,3,Y,1.93,,MJ
19,Rural,9/24/23,N,30,49,N,Positive,10/3/23,Y,8.97,1.84,1.44,,CE,10/5/23,N,12.53,2.12,1.47,3,Y,5.37,,EC
169,Rural,8/3/23,Y,3,96.8,N,Positive,10/3/23,Y,1.53,1.28,1.25,,CE,10/5/23,N,21.44,2.34,1.15,3,Y,8.31,,EC
12,Rural,9/24/23,Y,0.81,123,Y,Negative,10/3/23,Y,1.32,4.1,1.5,,RD,10/5/23,Y,3.09,3.41,4.25,3,Y,3.58,,KRA
16,Rural,9/24/23,Y,26.66,114,Y,Negative,10/3/23,Y,2.66,2.34,0.94,,RD,10/5/23,Y,3.82,18.1,3.5,3,Y,8.47,,HS
24,Rural,9/24/23,Y,7.18,68,N,Negative,10/3/23,Y,7.35,6.56,4.81,Ran away from the stimulus in the third trial,RD,10/5/23,N,30,30,30,0,N,30,,HC
7,Rural,9/24/23,Y,8.37,97,Y,Neutral,10/3/23,Y,2.56,1.19,0.84,,AR,10/5/23,Y,10.55,30,30,1,N,23.52,,RD
13,Rural,9/24/23,Y,20.34,166,Y,Neutral,10/3/23,Y,5.52,20.96,5.53,,AR,10/5/23,Y,4.44,30,30,1,N,21.48,,RD
21,Rural,9/24/23,N,30,44,N,Neutral,10/3/23,N,30,9.25,10.5,First trial is 37.66,AR,10/5/23,Y,3.32,4.69,1.31,3,Y,3.11,,MJ
25,Rural,9/24/23,Y,0.84,68,N,Neutral,10/3/23,Y,14.84,16.38,30,Last trial 52.87,AR,10/5/23,Y,2.31,3,1.53,3,Y,2.28,,EC
14,Rural,9/24/23,N,30,30,N,Positive,10/3/23,Y,23.41,2.22,1.04,Took awhile to attack,CE,10/5/23,Y,0.56,0.85,0.59,3,Y,0.67,,MJ
18,Rural,9/24/23,Y,0.41,156,Y,Positive,10/3/23,Y,12.16,3.18,1.75,,CE,10/5/23,Y,4.06,0.58,2.53,3,Y,2.39,,RD
22,Rural,9/24/23,Y,24.88,165,Y,Positive,10/3/23,Y,1.71,1.72,1.09,Tries to climb out,CE,10/5/23,Y,4.05,1.22,0.16,3,Y,1.81,,RD
23,Rural,9/24/23,Y,10.43,105,N,Positive,10/3/23,Y,3.15,2.13,1.35,,CE,10/5/23,Y,1.34,1.09,1.37,3,Y,1.27,,EC
28,Rural,9/24/23,Y,4.46,58,N,Positive,10/3/23,Y,1.59,4,60,Avoided third trial,CE,10/5/23,Y,30,30,25.94,1,N,28.65,Second trial 31.72,EC
37,Urban,9/24/23,N,1,126,N,Negative,10/3/23,Y,1.4,4.2,1,,MJ,10/5/23,N,2.22,1.85,1.27,3,Y,1.78,,RD
43,Urban,9/24/23,Y,1.25,104,N,Negative,10/3/23,Y,8.7,2.5,6.1,,MJ,10/5/23,N,7.5,4.19,3.37,3,Y,5.02,,EC
48,Urban,9/24/23,Y,0.53,218,N,Negative,10/3/23,Y,1.8,10.6,9.8,At the bottom,MJ,10/5/23,N,1.2,0.78,0.56,3,Y,0.85,,MJ
130,Urban,8/1/23,Y,2,130.5,N,Negative,10/3/23,Y,4.3,4.4,6,,MJ,10/5/23,N,1.19,0.72,2.15,3,Y,1.35,,EC
42,Urban,9/24/23,Y,8.78,117,N,Neutral,10/3/23,Y,0.16,0.78,0.28,,HS,10/5/23,N,0.41,0.69,0.53,3,Y,0.54,,KRA
90,Urban,8/1/23,Y,5,66.1,N,Neutral,10/3/23,Y,3.85,0.69,0.31,,HS,10/5/23,N,30,30,30,0,N,30,,KRA
115,Urban,8/1/23,Y,1,128.4,N,Neutral,10/3/23,Y,0.34,0.47,0.88,,HS,10/5/23,N,0.34,0.21,0.37,3,Y,0.31,,HS
