spider,tub,container,noise_location,Week,Box,Area,pic_mean,black_mean,white_mean,StdDev,Min,Max
AP005,1,1,city,1,picture,15.056,62.555,59.873,227.824,22.087,10,192
AP005,1,1,city,2,picture,18.55,55.608,23.792,211.276,18.366,1,189
AP005,1,1,city,3,picture,19.358,51.947,41.379,213.755,16.836,5,159
AP005,1,1,city,4,picture,12.151,61.536,50.825,222.642,18.767,7,168
AP005,1,1,city,5,picture,13.392,55.038,69.643,221.801,15.685,7,169
AP005,1,1,city,6,picture,16.374,64.34,63.903,228.183,17.756,18,169
AP060,1,2,rural,1,picture,14.075,55.418,49.56,220.741,22.561,1,225
AP060,1,2,rural,2,picture,18.01,54.564,50.824,231.64,18.834,5,198
AP060,1,2,rural,3,picture,18.544,54.423,50.752,222.536,16.438,4,144
AP060,1,2,rural,4,picture,18.388,52.319,35.406,221.331,17.234,2,150
AP060,1,2,rural,5,picture,17.847,52.603,49.52,220.958,19.008,2,154
AP060,1,2,rural,6,picture,21.903,45.024,41.455,208.311,16.057,0,149
AP064,1,3,rural,1,picture,17.413,56.295,26.565,225.798,15.481,3,160
AP064,1,3,rural,2,picture,27.148,62.894,29.573,220.223,16.715,0,151
AP064,1,3,rural,3,picture,22.891,61.057,22.315,209.661,16.524,4,140
AP064,1,3,rural,4,picture,17.712,38.473,19.194,207.577,11.714,0,123
AP064,1,3,rural,5,picture,28.912,71.491,29.731,230.789,18.128,0,166
AP064,1,3,rural,6,picture,28.998,48.195,16.775,192.496,12.569,0,105
AP210,1,4,rural,1,picture,17.226,58.538,27.798,223.115,21.123,5,228
AP210,1,4,rural,2,picture,21.435,51.651,27.731,206.48,17.17,1,182
AP210,1,4,rural,3,picture,16.591,78.155,38.213,229.78,19.213,3,176
AP210,1,4,rural,4,picture,15.299,63.143,32.377,222.88,23.572,1,155
AP210,1,4,rural,5,picture,19.651,73.97,29.504,223.302,22.128,14,160
AP210,1,4,rural,6,picture,20.368,98.36,33.997,227.695,22.731,20,193
AP018,1,5,city,1,picture,19.306,49.215,23.558,208.6,16.715,0,214
AP018,1,5,city,2,picture,22.045,65.516,31.108,214.046,17.809,2,176
AP018,1,5,city,3,picture,22.103,63.073,26.19,220.27,15.148,9,165
AP018,1,5,city,4,picture,17.55,55.943,27.786,207.576,13.266,6,157
AP018,1,5,city,5,picture,18.519,62.343,30.249,213.001,15.149,2,176
AP018,1,5,city,6,picture,25.527,82.408,32.201,225.25,18.417,11,140
AP275,1,6,rural,1,picture,16.7,44.269,29.956,208.852,20.077,0,224
AP275,1,6,rural,2,picture,20.698,73.628,52.413,239.838,20.586,10,194
AP275,1,6,rural,3,picture,17.173,67.094,42.998,234.737,19.707,7,214
AP275,1,6,rural,4,picture,16.482,47.673,41.1,220.81,13.004,5,151
AP275,1,6,rural,5,picture,25.17,73.202,40.461,234.315,17.438,11,180
AP167,1,7,city,1,picture,18.062,61.269,36.336,234.668,14.824,6,166
AP167,1,7,city,2,picture,22.065,52.915,42.356,216.113,11.199,4,136
AP167,1,7,city,3,picture,20.14,78.343,66.62,233.135,12.159,22,160
AP167,1,7,city,4,picture,14.748,41.779,43.554,219.368,14.162,0,110
AP167,1,7,city,5,picture,24.816,82.644,60.879,241.413,25.155,1,190
AP167,1,7,city,6,picture,29.714,50.879,35.972,208.239,19.537,0,149
AP109,1,8,city,1,picture,23.351,67.938,47.134,242.405,21.696,3,238
AP109,1,8,city,2,picture,20.543,43.818,39.701,216.822,14.476,0,141
AP109,1,8,city,3,picture,6.742,66.111,47.435,235.295,14.431,16,144
AP109,1,8,city,4,picture,15.877,49.794,29.947,222.886,15.741,1,127
AP109,1,8,city,5,picture,20.025,83.803,48.269,243.34,19.238,13,192
AP109,1,8,city,6,picture,20.127,52.54,51.607,213.538,12.312,4,114
AP197,1,9,rural,1,picture,16.705,67.562,37.869,244.055,25.918,3,237
AP197,1,9,rural,2,picture,16.985,52.794,23.165,209.619,18.746,0,163
AP197,1,9,rural,3,picture,22.165,86.275,35.718,230.824,21.024,4,202
AP197,1,9,rural,4,picture,17.094,71.199,29.828,221.386,25.343,7,172
AP197,1,9,rural,5,picture,22.388,76.52,26.721,216.417,22.908,12,178
AP197,1,9,rural,6,picture,20.887,95.409,31.946,227.951,25.605,14,204
AP158,2,1,rural,1,picture,17.598,64.299,21.801,202.01,16.459,4,145
AP158,2,1,rural,2,picture,18.637,72.962,68.436,201.343,23.176,1,209
AP158,2,1,rural,3,picture,7.158,66.537,34.522,212.78,17.646,13,174
AP158,2,1,rural,4,picture,11.105,39.837,27.509,217.324,11.841,0,178
AP158,2,1,rural,5,picture,10.763,45.179,34.591,212.475,14.075,1,157
AP158,2,1,rural,6,picture,10.879,43.884,74.19,209.869,11.57,0,117
AP180,2,2,city,1,picture,6.634,43.661,23.368,214.668,14.555,1,140
AP180,2,2,city,2,picture,8.703,65.11,32.834,225.179,21.077,14,201
AP180,2,2,city,3,picture,21.575,68.739,48.938,232.149,20.59,12,198
AP180,2,2,city,4,picture,17.485,64.006,50.03,233.05,21.257,3,168
AP180,2,2,city,5,picture,18.444,69.621,38.518,226.634,23.696,5,173
AP180,2,2,city,6,picture,20.503,67.234,36.87,224.577,23.536,6,152
AP047,2,3,city,1,picture,16.387,68.466,33.862,238.689,19.617,7,236
AP047,2,3,city,2,picture,17.906,80.957,117.151,250.778,21.703,13,216
AP047,2,3,city,3,picture,16.466,60.099,42.942,225.762,17.109,2,171
AP047,2,3,city,4,picture,15.562,33.734,22.55,210.065,11.733,0,134
AP047,2,3,city,5,picture,16.312,51.901,26.365,228.523,14.368,5,140
AP032,2,4,city,1,picture,18.554,49.373,26.402,201.225,15.834,0,177
AP032,2,4,city,2,picture,21.098,66.819,23.307,208.933,19.512,3,177
AP032,2,4,city,3,picture,17.53,80.907,24.071,212.888,19.091,5,176
AP032,2,4,city,4,picture,15.206,59.892,25.044,218.826,15.864,11,178
AP032,2,4,city,5,picture,14.969,61.571,23.333,213.748,14.897,13,144
AP032,2,4,city,6,picture,20.058,65.655,39.38,208.039,14.974,14,134
AP288,2,5,rural,1,picture,15.633,46.118,23.419,213.979,14.512,2,165
AP288,2,5,rural,2,picture,19.034,52.87,29.312,204.118,18.536,0,187
AP288,2,5,rural,3,picture,20.293,52.917,23.45,210.426,21.016,0,198
AP288,2,5,rural,4,picture,16.267,53.034,30.234,222.957,15.334,5,209
AP288,2,5,rural,5,picture,19.583,57.025,28.775,214.524,18.48,4,194
AP288,2,5,rural,6,picture,16.642,60.256,35.877,224.541,15.648,1,146
AP254,2,6,rural,1,picture,19.204,75.976,30.828,231.247,21.734,12,233
AP254,2,6,rural,2,picture,19.665,79.714,39.02,232.276,23.941,4,230
AP254,2,6,rural,3,picture,17.336,58.411,33.013,206.089,20.408,0,200
AP254,2,6,rural,4,picture,15.689,47.7,30.466,217.344,17.297,1,166
AP135,2,7,rural,1,picture,17.795,73.348,33.583,239.895,16.678,11,210
AP135,2,7,rural,2,picture,12.875,53.183,46.057,232.213,16.997,6,180
AP135,2,7,rural,3,picture,21.237,61.333,37.694,226.563,21.38,8,191
AP135,2,7,rural,4,picture,18.734,40.476,27.115,207.888,16.142,0,136
AP135,2,7,rural,5,picture,17.753,63.138,34.949,231.582,17.923,11,161
AP135,2,7,rural,6,picture,22.009,45.568,24.375,204.262,11.774,1,117
AP229,2,8,city,1,picture,18.382,64.261,40.919,245.12,19.974,1,176
